ID Artico;Codice;UM;Q.ta
1482;M080065913;pz;6
1483;M080065923;pz;13,2
1486;M080264967;pz;12,4
1487;M080265943;pz;60
2617;M080665909;pz;30
8933;M0811672222;pz;24
1498;M081566093;pz;3,0
1527;M085266154;pz;2,4
1651;M804061455*;m;3
1653;M804567763*;m;48
3601;M8090L650391;m;39
1659;M841865178;m;1
4970;MP00ETI.50290;pz;1,9
12284;P.B45S.DD.400;pz;3
3315;P.B45S.DI.400;pz;8
3350;P.B45S.IP.400;pz;19
99870;PU 188415066;pz;1
99871;PU 188415067;pz;1
0;PU 222300102;mq;1
0;PU 222300103;m;1
0;PU 222300202;mq;1
0;PU 222300203;m;1
0;PU 222300402;mq;1
0;PU 222300403;mq;1
0;PU 222300404;m;1
0;PU 222300502;mq;2
0;PU 222300503;m;2
0;PU 222300602;mq;2
0;PU 222300603;m;2
0;PU 222300702;mq;1
0;PU 222300703;m;1
0;PU 222300802;mq;1
0;PU 222300803;mq;1
0;PU 222300804;mq;1
0;PU 222300805;m;1
0;PU 222300902;mq;1
0;PU 222300903;m;1
0;PU 222301102;mq;1
0;PU 222301103;mq;1
0;PU 222301104;m;1
0;PU 222303001;pz;4
60528;SU 131440500;pz;2
73767;SU 131440950;pz;2
93183;SU 152086310;pz;30
79723;SU 159156060A;pz;3
100089;SU 188416630;pz;1
104299;SU 188446070;pz;1
114858;SU 199996270;pz;2
87724;XMOME.0002120;pz;13
56260;XMORD.0002310;pz;13
4866;XVTMS.0000070;pz;124
